t,x
0.0,0.1
0.00017322912035672814,0.10003852936661867
0.00025347524782852774,0.10005916935183712
0.00039045096163963254,0.1000987021716677
0.0005077473472092258,0.10013718376006676
0.0006513220514874844,0.10019074846292998
0.0007966901628471528,0.10025320570874399
0.0009582468139782682,0.10033394304392879
0.00112722854222476,0.10043355593071435
0.0013057334026564972,0.10055918223486825
0.0014895252469068814,0.10071539363706898
0.0016781398644996402,0.10091081794305076
0.0018699844897685238,0.10115509928595558
0.00206445680375605,0.10146144329504715
0.00226071543667757,0.10184597987449362
0.0024580494815970725,0.10232887123351396
0.0026554502942383994,0.10293380420926661
0.002851505800058797,0.10368689334402467
0.0030444335158189726,0.10461460645578956
0.003232678182053324,0.10574378958338167
0.0034153955230167778,0.10710398443512854
0.0035924715922333902,0.10873023700856188
0.0037642578000101363,0.11066505398083594
0.003931339521844345,0.11296015378326622
0.0040943734393707265,0.11567807950813076
0.0042540000136966835,0.11889400615794618
0.004410802055659773,0.12269782522835473
0.004565292313797218,0.12719665089365503
0.004717915373691583,0.13251780468944527
0.004869057007840327,0.13881236549681586
0.005019056761333451,0.14625934351925063
0.005168222462244913,0.1550705463962853
0.005316846243301203,0.16549616242196047
0.005465223495093205,0.17783108769266334
0.005613674203052835,0.1924216784178334
0.005762563718147337,0.20967163337214664
0.00591233921280646,0.23004669483803636
0.006063576613459862,0.2540744143672028
0.00621708541527184,0.28234024333358293
0.00637421277298711,0.3155031447219185
0.00653783076286739,0.3544493555539325
0.0067124469895796235,0.4001562667950667
0.006871727789754556,0.4440038668130425
0.007018181185527907,0.4841128927994631
0.007155875324433974,0.5195503105764627
0.0072866296134324994,0.549302763674445
0.007411857114511765,0.5728339206902203
0.007531292166987369,0.5899338660180307
0.00764460036395811,0.6010716022459904
0.007752111298299626,0.6072014109954471
0.007853772129191952,0.6093821089533449
0.007947799053440877,0.608685322666499
0.008036920914691964,0.6060086425931043
0.008137486315363766,0.6010904815979756
0.008241760816873219,0.5943607328928596
0.008357429461218651,0.5855115964313559
0.008485015007752993,0.5746572347593198
0.008618901312509235,0.5625787582230393
0.008750808619844622,0.5503852975198911
0.00888402836785725,0.5380342265090173
0.009015738214004101,0.5259369376748311
0.009140644237935626,0.5146388146734319
0.009300037760361717,0.5005039402884437
0.009460041535425803,0.48662332431055977
0.009628597559944668,0.472282718163847
0.00980168223052366,0.4577767154920064
0.009982451899891661,0.4427632410215778
0.010170231241397923,0.4272027838589614
0.01036655479926959,0.41085461358599557
0.010571953672996896,0.39354653034184295
0.010787680309389015,0.3750340359483084
0.011014751464114445,0.35508552282085665
