time,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.0,-0.0012774053502965857,0.0,0.0,0.06131545681423611,-1e-05,0.0,0.06134206942570062,1e-05,0.0
0.005208401151056655,-0.0015507685866299982,-7.922807037214491e-07,-7.446101106799569e-09,0.0613192500862835,-9.97480548363135e-06,-1.1786397068266226e-10,0.07445214010978574,9.858516623059925e-06,3.766009233759741e-07
0.01041680230211331,-0.002365973936989012,-1.5708924626826402e-06,-2.803115514473469e-08,0.061345751448692185,-9.916930327997458e-06,-5.335540393448917e-10,0.08736914426003202,9.453384042052919e-06,6.867452788992164e-07
0.015625203453169964,-0.0037093742042257965,-2.3237494181506874e-06,-5.865236972885057e-08,0.06141724141857489,-9.827269436607287e-06,-6.323802294629512e-10,0.09991484763286397,8.790764267860094e-06,9.168919417343633e-07
0.02083360460422662,-0.00555908785482569,-3.039148290816594e-06,-9.570002648957576e-08,0.06155525298046485,-9.707204261262447e-06,6.320582082810025e-11,0.11191699623673959,7.881050303529486e-06,1.0579081336050594e-06
0.026042005755283273,-0.00788541769825965,-3.7059613197515958e-06,-1.3527668736848967e-07,0.061780238371223935,-9.558576153046615e-06,1.8749592069897734e-09,0.12321198205289077,6.7386820382123e-06,1.1054979216280315e-06
0.03125040690633993,-0.010651253033271368,-4.3138497661377636e-06,-1.7342640188021653e-07,0.0621111957469761,-9.383660604434626e-06,4.948996135468063e-09,0.13364782969986125,5.381976365833138e-06,1.0606539772446014e-06
0.03645880805739658,-0.013812691829287951,-4.8533744596223886e-06,-2.0632486136474468e-07,0.06256548068198022,-9.185129271877409e-06,9.266419646084573e-09,0.14308570444253127,3.832790921381798e-06,9.293468262134993e-07
0.04166720920845324,-0.017319787250241768,-5.316219066523358e-06,-2.3056303347670833e-07,0.06315841508605861,-8.966003942914387e-06,1.4643602013304197e-08,0.15140304085269832,2.116147644002526e-06,7.224426575123809e-07
0.04687561035950989,-0.021117219521665724,-5.695267486756094e-06,-2.4328823736837485e-07,0.0639031507707096,-8.729616229988936e-06,2.0755147580560654e-08,0.15849463428018568,2.5985495699124234e-07,4.550786919390826e-07
0.05208401151056655,-0.025145291481122347,-5.984741177475036e-06,-2.4240826604384536e-07,0.0648104251179689,-8.479547997895952e-06,2.716501262788125e-08,0.16427459550196255,-1.7060438301288748e-06,1.457982080070366e-07
0.0572924126616232,-0.029340818762150153,-6.180302119068589e-06,-2.2673801012989953e-07,0.06588837714714874,-8.219578681162698e-06,3.3358120496846166e-08,0.16867782218824295,-3.7497688496060547e-06,-1.843225781353316e-07
0.06250081381267986,-0.03363803154604007,-6.279076432338985e-06,-1.9603218937164938e-07,0.06714249592391625,-7.95363252130131e-06,3.878266972600672e-08,0.17166041162986914,-5.838319200900277e-06,-5.128038905507914e-07
0.06770921496373651,-0.03796983149824848,-6.279749721331136e-06,-1.510885398454335e-07,0.06857544832643954,-7.685705530923714e-06,4.289953883828272e-08,0.17320103860915856,-7.938180500575221e-06,-8.171253674040981e-07
0.07291761611479317,-0.04226853921186419,-6.182537647633305e-06,-9.367208695498824e-08,0.07018711910833776,-7.419822565030268e-06,4.521746546492187e-08,0.17330063489631223,-1.0015743355332602e-05,-1.0756710235878105e-06
0.07812601726584982,-0.04646721893870098,-5.98919708628959e-06,-2.645649183413054e-08,0.07197458176462632,-7.159961741865735e-06,4.534555570837524e-08,0.1719826223218683,-1.2038037140665898e-05,-1.269184193495252e-06
0.08333441841690648,-0.05050062157443379,-5.702998965891176e-06,4.708441815660997e-08,0.07393213754761778,-6.9100011146510316e-06,4.302833142743358e-08,0.16929260064950527,-1.3973242040435725e-05,-1.381749972527547e-06
0.08854281956796313,-0.05430603130319098,-5.328645436598766e-06,1.228744511915151e-07,0.07605144975874882,-6.6736711849345634e-06,3.816920294631543e-08,0.16529727324143567,-1.5791120648406784e-05,-1.4014838546154454e-06
0.09375122071901978,-0.05782463435831071,-4.872208334636126e-06,1.9644033844475528e-07,0.07832164135608652,-6.454478427376121e-06,3.0869037684382007e-08,0.16008366619836958,-1.7463736246280933e-05,-1.321675490182129e-06
0.09895962187007644,-0.06100199076486881,-4.34102268760076e-06,2.6311466820592136e-07,0.08072947497213814,-6.255679284375199e-06,2.1423306611681016e-08,0.1537576882170401,-1.896565012808189e-05,-1.1407926144837162e-06
0.1041680230211331,-0.06378912245619586,-3.743545598707389e-06,3.1832373575447417e-07,0.08325959018407805,-6.080219949151815e-06,1.0327190694639304e-08,0.14644223242839824,-2.0274426690452373e-05,-8.627833027186301e-07
0.10937642417218975,-0.06614337094224632,-3.0892280517010568e-06,3.578323072865901e-07,0.08589471927562649,-5.93068869705686e-06,-1.726779760497173e-09,0.1382754503025895,-2.1371017434003798e-05,-4.971637927431692e-07
0.1145848253232464,-0.06802864274227734,-2.3883685862152184e-06,3.779178783266645e-07,0.08861594414867725,-5.809302747708121e-06,-1.388315793383515e-08,0.1294086963559334,-2.2239786148199065e-05,-5.823859285554187e-08
0.11979322647430306,-0.06941640888427843,-1.6519008579630234e-06,3.756757467539676e-07,0.09140305988760439,-5.7178519098653905e-06,-2.515092992445811e-08,0.1200036196364781,-2.2868904407176854e-05,4.353768009023763e-07
0.1250016276253597,-0.07028595045832567,-8.912500632982004e-07,3.4914475131102313e-07,0.09423482917893186,-5.657684317935241e-06,-3.4440524790248564e-08,0.11023012836664392,-2.325037864789698e-05,9.615928377643193e-07
