time,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
0.01,0.12391247487106527,0.0023609536610618453,0.0010005191321939846,0.09893856059016509,4.186415704677393e-8,2.254584064335984e-8,0.09981262392352075,-1.1810571636315535e-5,-5.002309821398846e-6
0.02,0.14773478199885667,0.004708018787349424,0.002001562149796387,0.09788090404573777,3.3442518351140547e-7,1.8009171654013155e-7,0.09937612110062956,-4.714459740754338e-5,-2.001520080834159e-5
0.03,0.17140701742617323,0.00703561314679685,0.003002341236476841,0.09682951157785298,1.1265021193598476e-6,6.067372460588753e-7,0.09869189844960675,-0.00010581192798377494,-4.504045297931733e-5
0.04,0.19486971189986968,0.009338208149067337,0.004002047502061873,0.09578684634018479,2.6644519836920522e-6,1.435479758302032e-6,0.097761983811751,-0.0001875648245224889,-8.007048232953151e-5
0.05,0.21806400286612287,0.01161034465985398,0.004999852467101681,0.09475534630536968,5.191491065557512e-6,2.7980247554185264e-6,0.09658901877904484,-0.0002920990311868852,-0.00012508873238086462
0.06,0.2409317840200722,0.013846646839893438,0.005994909492226055,0.09373741807144367,8.947107383486725e-6,4.824632798666536e-6,0.09517625315075368,-0.00041905462597264685,-0.00018006998103501254
0.07,0.2634158111649466,0.016041831712758838,0.006986355047969633,0.09273543247755288,1.4166648228050653e-5,7.644005908337635e-6,0.09352753563607624,-0.0005680171443464681,-0.0002449806408339807
0.08,0.2854599019443001,0.01819072752663217,0.007973311214434087,0.09175171633264224,2.108054477329508e-5,1.1383096668782607e-5,0.09164730048192407,-0.0007385192613780498,-0.000319779197909647
0.09,0.3070090559491543,0.020288284865936614,0.008954887195888018,0.09078854744176844,2.9913846023005453e-5,1.616699806035912e-5,0.08954056034560107,-0.0009300417069965187,-0.0004044164448349791
0.1,0.3280095579108661,0.022329585880475466,0.009930181110873118,0.08984815033277252,4.0885826536682486e-5,2.211884730974352e-5,0.08721289177655718,-0.0011420148531719671,-0.0004988357825348348
0.11,0.34840912944235986,0.02430985808476246,0.010898282542757258,0.08893268997297095,5.420940983430451e-5,2.9359695712977856e-5,0.08467041777680545,-0.0013738206534631367,-0.0006029735731255286
0.12,0.3681571127028383,0.02622449131159543,0.011858275467965758,0.08804426416440299,7.009046687748774e-5,3.800835686029123e-5,0.08191979081232255,-0.0016247945708327233,-0.0007167594432656855
0.13,0.38720453293942225,0.0280690433679409,0.012809239519693835,0.08718490095439373,8.872758248256039e-5,4.818135719925789e-5,0.07896818293946581,-0.0018942266124407441,-0.0008401164061169261
