t,y2
0.0,0.01
0.001,-10.686145366660801
0.002,-4.642990029290409
0.003,-5.296341562661684
0.004,10.778071077428153
0.005,14.449061005687023
0.006,-8.59458606895518
0.007,0.6868607569606342
0.008,-0.14791048339488103
0.009,-11.361471481811918
0.01,3.396994163446281
0.011,-8.1465999636507
0.012,-5.762505366770709
0.013,2.4578520640250914
0.014,6.792165695042704
0.015,-0.21679695091934853
0.016,2.779748795707767
0.017,-1.8419082608617
0.018,6.4255271577531134
0.019,-13.87595928647223
0.02,-0.6418568703479259
0.021,-3.8473853053869376
0.022,6.113550200849478
0.023,-3.0886046446846533
0.024,-2.7772407799547483
0.025,3.5439114398762013
0.026,-9.119653445095627
0.027,11.257806191191216
0.028,3.4416941298634267
0.029,-2.1798685748232702
0.03,9.82311353255958
0.031,-5.607112535805732
0.032,-1.209052521106069
0.033,8.333837877922093
0.034,-8.143152053965139
0.035,-8.631727856912194
0.036,6.605632410479957
0.037,-2.346864513516692
0.038,-0.6702239265873599
0.039,-11.142504857977421
0.04,-11.339549448740811
0.041,-15.621015135226177
0.042,0.7633944502310468
0.043,11.995798733874686
0.044,-4.22526792525735
0.045,-5.160029813346959
0.046,3.5702311226819474
0.047,4.443338167043071
0.048,-6.321424990532155
0.049,-9.986681826024489
0.05,-3.792552791310666
0.051,-10.875665048747237
0.052,-12.171920337770114
0.053,9.303354659872847
0.054,-5.748204297709165
0.055,7.923427555166189
0.056,8.694111842182267
0.057,9.708832616347156
0.058,12.449219537756017
0.059,-12.672816359566973
0.06,7.4322911620992915
0.061,-0.669653544718064
0.062,-3.0346800017995608
0.063,-0.1315568550854949
0.064,-11.95609045797467
0.065,-6.313447564701689
0.066,3.266706971439612
0.067,-0.1138675597497223
0.068,4.466976838220288
0.069,-6.7012179310025255
0.07,3.144768856301217
0.071,3.0008204993533765
0.072,3.276046014923292
0.073,2.1253999263322303
0.074,-2.074772928258418
0.075,-2.945961272635338
0.076,-17.296057879970057
0.077,-12.34447102362811
0.078,-0.4744743829422457
0.079,-2.720149618587556
0.08,-18.129209536006382
0.081,4.393930340820918
0.082,1.0450985640424275
0.083,-3.6251978089816217
0.084,0.2601258481403437
0.085,9.522800840305296
0.086,-3.5211695600322046
0.087,-0.981995010336135
0.088,-0.8906096571583354
0.089,-5.667781368991092
0.09,2.3266322406001807
0.091,-8.1728511126239
0.092,0.8551487694477694
0.093,-2.1610843055208218
0.094,3.4924274486632902
0.095,-1.6888663978948737
0.096,13.360452394565055
0.097,-8.812364967983466
0.098,-4.898952824233405
0.099,11.079633676715783
0.1,-7.049564188427867
0.101,1.664506131539841
0.102,-3.848588534831209
0.103,-2.1269357606453823
0.104,5.517287275042324
0.105,3.062654364413236
0.106,2.367060501261966
0.107,-0.45893779578845895
0.108,3.8841326806286154
0.109,3.8945350415185267
0.11,5.926704328059163
0.111,12.151164495117271
0.112,14.59198161218959
